,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region,Latitude,Longitude
39,Kentuckley,149,4.49,Transient Artisan Ales,American Imperial Stout,14.00%,great-lakes,41.943286,-86.5557
40,Underground Mountain Brown,66,4.54,Founders Brewing Company,American Brown Ale,11.80%,great-lakes,42.9583924,-85.6746319
41,Soursmith Black Raspberry,39,4.6,Arclight Brewing Company,American Wild Ale,5.10%,great-lakes,42.1912005,-86.2590882
42,Mothership Series #5: Barrel-Aged Imperial Stout,108,4.49,Founders Brewing Company,Russian Imperial Stout,12.80%,great-lakes,42.9583924,-85.6746319
43,Paw Paw,122,4.48,Upland Brewing Company,American Wild Ale,6.00%,great-lakes,39.1653,-86.5264
44,Nut Smasher,365,4.44,Willoughby Brewing,American Imperial Stout,11.00%,great-lakes,41.6398,-81.4065
45,Barrel-Aged Henna - Karma,30,4.62,More Brewing Co.,American Imperial Stout,14.30%,great-lakes,41.88678609999999,-87.9694437
46,Mothership Series #4: Panther Cub Barrel-Aged Porter,139,4.46,Founders Brewing Company,American Imperial Porter,8.70%,great-lakes,42.9583924,-85.6746319
47,Not Your Father's Root Beer (19.5%),90,4.48,Small Town Brewery,Herb and Spice Beer,19.50%,great-lakes,42.2742671,-88.1538396
48,M-43 N.E. India Pale Ale,957,4.42,Old Nation Brewing Co.,New England IPA,6.80%,great-lakes,42.6874147,-84.30315829999999
49,Oro Negro,942,4.42,Jackie O's Pub & Brewery,American Imperial Stout,10.00%,great-lakes,39.3277484,-82.10230059999999
50,Bring the Ruckley,33,4.59,Transient Artisan Ales,American Imperial Stout,14.50%,great-lakes,41.943286,-86.5557
51,Bourbon Barrel-Aged Barley Wine,770,4.42,Kuhnhenn Brewing Company,British Barleywine,14.50%,great-lakes,42.5621083,-82.9168755
52,3 Floyds / The Bruery - Rue D'Floyd,315,4.43,3 Floyds Brewing Co.,American Imperial Porter,14.40%,great-lakes,41.5355252,-87.5168114
53,Barrel Aged The Jones Dog,471,4.42,Pipeworks Brewing Company,American Imperial Stout,13.00%,great-lakes,41.91834250000001,-87.72540479999999
54,Double Grid,55,4.51,Hop Butcher For The World,American Imperial IPA,7.50%,great-lakes,41.7344178,-87.9702027
55,Wooden Hell,223,4.43,Flossmoor Station Restaurant & Brewery,British Barleywine,9.50%,great-lakes,41.5433753,-87.6786252
56,Double Barrel Bourbon County Brand Stout,29,4.6,Goose Island Beer Co.,American Imperial Stout,17.20%,great-lakes,41.887133,-87.672134
57,As You Wish...,200,4.43,Pipeworks Brewing Company,American Imperial Porter,11.00%,great-lakes,41.91834250000001,-87.72540479999999
58,Dreadnaught IPA,"6,128",4.4,3 Floyds Brewing Co.,American Imperial IPA,9.50%,great-lakes,41.5355252,-87.5168114
59,Imperial Smells Like Bean Spirit - Bourbon Barrel-Aged,62,4.49,Mikerphone Brewing,American Imperial Stout,12.00%,great-lakes,42.0297529,-87.96754530000001
60,Crimson Snapper,444,4.41,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes,41.91834250000001,-87.72540479999999
61,Boss Tweed,436,4.41,Old Nation Brewing Co.,New England IPA,9.30%,great-lakes,42.6874147,-84.30315829999999
62,Citra,"1,408",4.4,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes,41.91834250000001,-87.72540479999999
63,Bitches' Bank,234,4.41,18th Street Brewery - Gary Taproom,Russian Imperial Stout,12.00%,great-lakes,41.5990572,-87.267179
64,Imperial Smells Like Bean Spirit,161,4.42,Mikerphone Brewing,American Imperial Stout,10.75%,great-lakes,42.0297529,-87.96754530000001
65,DRIPA (Double Rice IPA),"1,019",4.39,Kuhnhenn Brewing Company,American Imperial IPA,9.50%,great-lakes,42.5621083,-82.9168755
66,Mikerphone / More - Barrel-Aged Vanillanoize,40,4.52,Mikerphone Brewing,American Imperial Stout,11.20%,great-lakes,42.0297529,-87.96754530000001
67,Key Bump,108,4.43,Hoof Hearted Brewing,American Imperial IPA,10.50%,great-lakes,40.366809,-82.816682
68,IBUsive,257,4.4,Fat Head's Brewery & Saloon,American Imperial IPA,8.00%,great-lakes,41.3776876,-81.821289
69,Wisconsin Belgian Red,"3,716",4.38,New Glarus Brewing Company,Fruit and Field Beer,4.00%,great-lakes,42.79428009999999,-89.62999959999999
70,Creeper,403,4.39,Columbus Brewing Company,American Imperial IPA,10.00%,great-lakes,39.967413,-83.069273
71,Raspberry Eisbock,"1,298",4.38,Kuhnhenn Brewing Company,German Eisbock,15.50%,great-lakes,42.5621083,-82.9168755
72,V.S.O.D.,119,4.42,Revolution Brewing,Russian Imperial Stout,14.80%,great-lakes,41.9235436,-87.6981993
73,Beer Hates Astronauts,553,4.38,Half Acre Beer Company,American IPA,7.50%,great-lakes,41.9592712,-87.6821794
74,Raspberry Tart,"3,935",4.37,New Glarus Brewing Company,Fruit and Field Beer,4.00%,great-lakes,42.79428009999999,-89.62999959999999
75,Spotted Puffer,430,4.38,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes,41.91834250000001,-87.72540479999999
76,Unsessionable,"1,075",4.37,Revolution Brewing,American Imperial IPA,10.00%,great-lakes,41.9235436,-87.6981993
77,Roller Blabe DIPA,351,4.38,Hoof Hearted Brewing,American Imperial IPA,8.00%,great-lakes,40.366809,-82.816682
78,Café Deth,338,4.38,Revolution Brewing,Russian Imperial Stout,14.80%,great-lakes,41.9235436,-87.6981993
79,Galaxy Unicorn,682,4.37,Pipeworks Brewing Company,American Imperial IPA,9.50%,great-lakes,41.91834250000001,-87.72540479999999
80,Hazel's Nuts,503,4.37,Odd Side Ales,American Imperial Stout,11.00%,great-lakes,43.0651042,-86.232599
81,Imperial Stout,"7,948",4.36,Founders Brewing Company,Russian Imperial Stout,10.50%,great-lakes,42.9583924,-85.6746319
82,French Vanilla Militia,35,4.51,3 Floyds Brewing Co.,Russian Imperial Stout,15.00%,great-lakes,41.5355252,-87.5168114
83,Wulver,"1,660",4.36,Thirsty Dog Brewing Company,Scotch Ale / Wee Heavy,12.00%,great-lakes,41.0671697,-81.5173398
84,Sour Reserve,394,4.37,Upland Brewing Company,Belgian Gueuze,6.00%,great-lakes,39.1653,-86.5264
85,Wood Burner (Bourbon Barrel-Aged),378,4.37,Jackie O's Pub & Brewery,American Imperial Stout,11.00%,great-lakes,39.3277484,-82.10230059999999
86,Thumbprint Wild Sour Ale,"1,069",4.36,New Glarus Brewing Company,American Wild Ale,5.00%,great-lakes,42.79428009999999,-89.62999959999999
87,Hipster Brunch Stout,850,4.36,Odd Side Ales,American Imperial Stout,11.00%,great-lakes,43.0651042,-86.232599
88,Brewer's Reserve Bourbon Barrel Cassian Sunset,724,4.36,Central Waters Brewing Co.,American Imperial Stout,11.70%,great-lakes,44.4422564,-89.2796641
89,The Final Act,60,4.44,Pipeworks Brewing Company,American Imperial Stout,13.00%,great-lakes,41.91834250000001,-87.72540479999999
90,Barrel Aged The Abduction,133,4.39,Pipeworks Brewing Company,American Imperial Stout,13.00%,great-lakes,41.91834250000001,-87.72540479999999
91,"Mikerphone Check 1, 2",104,4.4,Mikerphone Brewing,New England IPA,8.00%,great-lakes,42.0297529,-87.96754530000001
92,Backwoods Bastard,"8,638",4.35,Founders Brewing Company,Scotch Ale / Wee Heavy,11.20%,great-lakes,42.9583924,-85.6746319
93,Barrel Aged Behemoth,474,4.36,3 Floyds Brewing Co.,American Barleywine,12.50%,great-lakes,41.5355252,-87.5168114
94,Serendipity,"2,958",4.35,New Glarus Brewing Company,Fruit and Field Beer,4.00%,great-lakes,42.79428009999999,-89.62999959999999
95,Barrel-Aged Blackout Stout,"1,845",4.35,Great Lakes Brewing Co.,Russian Imperial Stout,9.50%,great-lakes,41.4843807,-81.7045187
96,Bourbon County Brand Bramble Rye Stout,"1,133",4.35,Goose Island Beer Co.,American Imperial Stout,12.70%,great-lakes,41.887133,-87.672134
97,Konkey Dong,343,4.36,Hoof Hearted Brewing,American Imperial IPA,8.00%,great-lakes,40.366809,-82.816682
98,Untitled Art / Mikerphone - BA Hazelnut Imperial Stout,35,4.49,Untitled Art,American Imperial Stout,12.20%,great-lakes,43.1850999,-89.4250957
99,Pear Bear,298,4.36,3 Floyds Brewing Co.,American Wild Ale,7.50%,great-lakes,41.5355252,-87.5168114
100,Grande Negro Voodoo Papi - Bourbon Barrel-Aged,376,4.62,Voodoo Brewery,American Imperial Stout,12.50%,mid-atlantic,41.6414,-80.1514
101,3rd Anniversary Imperial IPA,302,4.58,Other Half Brewing Co.,New England IPA,10.00%,mid-atlantic,40.6738864,-73.9990594
102,4th Anniversary,197,4.59,Other Half Brewing Co.,New England IPA,10.00%,mid-atlantic,40.6738864,-73.9990594
103,Sunday Brunch,774,4.56,Kane Brewing Company,American Imperial Porter,9.20%,mid-atlantic,40.2365892,-74.0450475
104,Mexican Brunch,543,4.56,Kane Brewing Company,American Imperial Porter,9.20%,mid-atlantic,40.2365892,-74.0450475
105,Double Dry Hopped Double Mosaic Dream,540,4.55,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.9990594
106,Double Dry Hopped Mylar Bags,434,4.55,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.9990594
107,Double Dry Hopped Double Mosaic Daydream,383,4.54,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.9990594
108,Imperial Biscotti Break - Bourbon Barrel-Aged,"1,657",4.51,Evil Twin Brewing,American Imperial Stout,11.50%,mid-atlantic,40.7044,-73.9018
109,Double Dry Hopped All Citra Everything,445,4.52,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.9990594
110,Double Barrel Jesus,802,4.5,Evil Twin Brewing,American Imperial Stout,12.00%,mid-atlantic,40.7044,-73.9018
111,Triple Citra Daydream,120,4.54,Other Half Brewing Co.,New England IPA,10.50%,mid-atlantic,40.6738864,-73.9990594
112,All Infinity Everything,115,4.53,Other Half Brewing Co.,New England IPA,8.70%,mid-atlantic,40.6738864,-73.9990594
113,Double Dry Hopped Double Citra Daydream,230,4.5,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.9990594
114,Black Magick - Willet Bourbon Barrel-Aged,27,4.69,Voodoo Brewery,Russian Imperial Stout,13.50%,mid-atlantic,41.6414,-80.1514
115,Albatross,86,4.53,Brew Gentlemen,New England IPA,8.00%,mid-atlantic,40.4042111,-79.8701506
116,Le Roar Grrrz,172,4.48,Bullfrog Brewery,Belgian Gueuze,Gueuze,mid-atlantic,41.240337,-77.005665
117,DoubleMex,71,4.52,Brew Gentlemen,American Imperial Stout,9.90%,mid-atlantic,40.4042111,-79.8701506
118,All 5th Anniversary Everything - Banana,28,4.63,Other Half Brewing Co.,American Imperial Stout,15.40%,mid-atlantic,40.6738864,-73.9990594
119,Triple Cream Triple Dry Hopped Imperial Oat Cream IPA,105,4.48,Other Half Brewing Co.,New England IPA,10.00%,mid-atlantic,40.6738864,-73.9990594
120,Space Diamonds (Double Dry-Hopped),236,4.45,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.9990594
121,Mosaic IPA,390,4.44,Other Half Brewing Co.,New England IPA,7.20%,mid-atlantic,40.6738864,-73.9990594
122,Even Mo Mofo,100,4.48,Sand City Brewing Co.,New England IPA,8.50%,mid-atlantic,40.8998536,-73.3508457
123,Afterimage,593,4.43,Grimm Artisanal Ales,New England IPA,8.00%,mid-atlantic,40.714267,-73.936528
124,Pile Of Crowns,109,4.47,LIC Beer Project,New England IPA,8.50%,mid-atlantic,40.7549273,-73.9392266
125,Double Mosaic Daydream,76,4.49,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.9990594
126,FOSHOMO,58,4.51,Brew Gentlemen,American Imperial IPA,8.20%,mid-atlantic,40.4042111,-79.8701506
127,Softly Spoken Magic Spells,916,4.42,SingleCut Beersmiths,New England IPA,8.60%,mid-atlantic,40.7784244,-73.90175180000001
128,Power Of ONE,70,4.49,Sand City Brewing Co.,New England IPA,8.20%,mid-atlantic,40.8998536,-73.3508457
129,Magnetic Compass,294,4.43,Grimm Artisanal Ales,New England IPA,6.40%,mid-atlantic,40.714267,-73.936528
130,The Dreamiest,36,4.56,Other Half Brewing Co.,New England IPA,7.80%,mid-atlantic,40.6738864,-73.9990594
131,Double Mosaic Dream,242,4.43,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.9990594
132,Fluctuation,124,4.45,Equilibrium Brewery,New England IPA,8.10%,mid-atlantic,41.4463721,-74.4222624
133,Double Dry Hopped Mylar Daydream,124,4.45,Other Half Brewing Co.,New England IPA,8.80%,mid-atlantic,40.6738864,-73.9990594
134,Other Half / Burial - Velvet Magnum II,26,4.61,Other Half Brewing Co.,American Imperial Stout,15.00%,mid-atlantic,40.6738864,-73.9990594
135,All Green Everything,"1,092",4.41,Other Half Brewing Co.,New England IPA,10.50%,mid-atlantic,40.6738864,-73.9990594
136,A Night To End All Dawns,599,4.41,Kane Brewing Company,American Imperial Stout,12.20%,mid-atlantic,40.2365892,-74.0450475
137,Vapor Ringz,35,4.55,Other Half Brewing Co.,New England IPA,8.40%,mid-atlantic,40.6738864,-73.9990594
138,Mexican Brunch - Bourbon Barrel-Aged,43,4.52,Kane Brewing Company,American Imperial Porter,11.40%,mid-atlantic,40.2365892,-74.0450475
139,Triple Dry Hopped Triple Mosaic Daydream,62,4.48,Other Half Brewing Co.,New England IPA,11.50%,mid-atlantic,40.6738864,-73.9990594
140,Le Roar Grrrz Kriek,203,4.42,Bullfrog Brewery,American Wild Ale,6.00%,mid-atlantic,41.240337,-77.005665
141,Double Milkshake IPA - EXTRA Vanilla,93,4.45,Tired Hands Brewing Company,New England IPA,9.20%,mid-atlantic,40.0086321,-75.29376979999999
142,Triple Mylar Daydream,41,4.52,Other Half Brewing Co.,American Imperial IPA,11.30%,mid-atlantic,40.6738864,-73.9990594
143,5th Anniversary,60,4.48,Other Half Brewing Co.,New England IPA,10.00%,mid-atlantic,40.6738864,-73.9990594
144,Second Wave,92,4.45,Sand City Brewing Co.,New England IPA,8.00%,mid-atlantic,40.8998536,-73.3508457
145,Second Anniversary DIPA,191,4.42,Other Half Brewing Co.,New England IPA,9.00%,mid-atlantic,40.6738864,-73.9990594
146,Other Half / Trillium Like Whoa,139,4.43,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.9990594
147,Tesseract,567,4.4,Grimm Artisanal Ales,American Imperial IPA,8.00%,mid-atlantic,40.714267,-73.936528
148,Only Void - Single-Origin Ethiopian Coffee,131,4.43,Tired Hands Brewing Company,American Imperial Stout,10.00%,mid-atlantic,40.0086321,-75.29376979999999
149,Double Dry Hopped Citra + Galaxy,56,4.48,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.9990594
150,Space Hallucinations,62,4.47,Other Half Brewing Co.,American Imperial IPA,10.50%,mid-atlantic,40.6738864,-73.9990594
151,Cafe Y Churro,226,4.41,Carton Brewing Company,American Cream Ale,12.00%,mid-atlantic,40.4117822,-74.0381795
152,Double Dry-Hopped Tesseract,79,4.45,Grimm Artisanal Ales,American Imperial IPA,8.00%,mid-atlantic,40.714267,-73.936528
153,Stillwater / Westbrook - Gose Gone Wild,"1,113",4.39,Stillwater Artisanal Ales,Leipzig Gose,4.60%,mid-atlantic,39.2904,-76.6122
154,Mammoth,91,4.44,Brew Gentlemen,American Imperial IPA,8.50%,mid-atlantic,40.4042111,-79.8701506
155,Infinity Minus ONE +2,58,4.47,Sand City Brewing Co.,New England IPA,8.20%,mid-atlantic,40.8998536,-73.3508457
156,Riot In Vermont,22,4.6,Prison City Pub & Brewery,New England IPA,6.50%,mid-atlantic,42.9318348,-76.568322
157,Between The Dead,75,4.44,Finback Brewery,American Imperial Stout,10.00%,mid-atlantic,40.7066639,-73.8732924
158,Extra Extra Knuckle,132,4.41,Tired Hands Brewing Company,New England IPA,8.60%,mid-atlantic,40.0086321,-75.29376979999999
159,Green Power,73,4.44,Other Half Brewing Co.,American Imperial IPA,8.00%,mid-atlantic,40.6738864,-73.9990594
160,Space Daydream - Double Dry-Hopped,85,4.43,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.9990594
161,World Wide Stout - Bourbon Barrel Aged,100,4.42,Dogfish Head Craft Brewery,American Imperial Stout,18.00%,mid-atlantic,38.7776,-75.3099
162,Space Daydream Imperial Oat Cream IPA,62,4.45,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.9990594
163,Double Dry Hopped Forever Simcoe,158,4.4,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.9990594
164,Radical ONE,58,4.45,Sand City Brewing Co.,American Imperial IPA,8.20%,mid-atlantic,40.8998536,-73.3508457
165,Double Dry Hopped Broccoli,191,4.39,Other Half Brewing Co.,New England IPA,7.90%,mid-atlantic,40.6738864,-73.9990594
166,BQE - Barrel Aged,178,4.39,Finback Brewery,American Imperial Stout,10.00%,mid-atlantic,40.7066639,-73.8732924
167,mc²,273,4.38,Equilibrium Brewery,New England IPA,8.00%,mid-atlantic,41.4463721,-74.4222624
168,Sunny Side Up (Little Amps! Double Coffee),621,4.37,Al's of Hampden / Pizza Boy Brewing,American Imperial Stout,9.50%,mid-atlantic,40.2884726,-76.9714091
169,Cuvée De Castleton,570,4.37,Captain Lawrence Brewing Co.,American Wild Ale,8.40%,mid-atlantic,41.0706772,-73.8140416
170,Double Dry Hopped Bon Bon 2X TNT IIPA,80,4.42,SingleCut Beersmiths,New England IPA,8.20%,mid-atlantic,40.7784244,-73.90175180000001
171,Michigan Maple Jesus,453,4.37,Evil Twin Brewing,American Imperial Stout,12.00%,mid-atlantic,40.7044,-73.9018
172,Eviscerated Pathway Of Beauty,117,4.4,Tired Hands Brewing Company,New England IPA,8.60%,mid-atlantic,40.0086321,-75.29376979999999
173,Sand City / Finback - Beach Front Avenue,26,4.54,Sand City Brewing Co.,American Imperial IPA,8.00%,mid-atlantic,40.8998536,-73.3508457
174,Dream Wave Fluctuation,26,4.54,Equilibrium Brewery,American Imperial IPA,8.10%,mid-atlantic,41.4463721,-74.4222624
175,Cowbell Imperial Oatmeal Milk Stout,345,4.37,Voodoo Brewery,English Sweet / Milk Stout,8.50%,mid-atlantic,41.6414,-80.1514
176,Mylar Bags,183,4.38,Other Half Brewing Co.,New England IPA,8.80%,mid-atlantic,40.6738864,-73.9990594
177,Flaming Fury,282,4.37,Captain Lawrence Brewing Co.,American Wild Ale,8.00%,mid-atlantic,41.0706772,-73.8140416
178,Lambo Door,612,4.36,Grimm Artisanal Ales,American Imperial IPA,8.00%,mid-atlantic,40.714267,-73.936528
179,"Triangle Test with Citra T-90, T-45 Lupulin Powder",43,4.46,Other Half Brewing Co.,American Imperial IPA,10.00%,mid-atlantic,40.6738864,-73.9990594
180,077-07871 - Mosaic,91,4.4,Carton Brewing Company,American Imperial IPA,7.80%,mid-atlantic,40.4117822,-74.0381795
181,Lumen,389,4.36,Grimm Artisanal Ales,New England IPA,6.40%,mid-atlantic,40.714267,-73.936528
182,Some People Are Immune To Good Advice,57,4.43,Evil Twin Brewing,American Imperial Stout,10.70%,mid-atlantic,40.7044,-73.9018
183,dHop2,64,4.42,Equilibrium Brewery,American Imperial IPA,8.50%,mid-atlantic,41.4463721,-74.4222624
184,Infinity + 2,35,4.48,Sand City Brewing Co.,New England IPA,9.00%,mid-atlantic,40.8998536,-73.3508457
185,Demiurge,20,4.58,Hudson Valley Brewery,New England IPA,8.00%,mid-atlantic,41.5016769,-73.9630756
186,Double Dry Hopped Stacks On Stacks,137,4.38,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic,40.6738864,-73.9990594
187,International Playboy,32,4.49,Sand City Brewing Co.,New England IPA,8.00%,mid-atlantic,40.8998536,-73.3508457
188,Double Dry Hopped Citra Daydream,61,4.42,Other Half Brewing Co.,New England IPA,6.00%,mid-atlantic,40.6738864,-73.9990594
189,Holy Nights,34,4.48,Kane Brewing Company,American Imperial Stout,10.70%,mid-atlantic,40.2365892,-74.0450475
190,The Light That Spills Out Of The Hole In Your Head,272,4.36,Tired Hands Brewing Company,American Pale Ale (APA),6.00%,mid-atlantic,40.0086321,-75.29376979999999
191,Head High - Double Dry-Hopped With Galaxy,81,4.4,Kane Brewing Company,New England IPA,6.50%,mid-atlantic,40.2365892,-74.0450475
192,Snowbirds - Bourbon Barrel-Aged,26,4.52,Other Half Brewing Co.,American Imperial Stout,14.40%,mid-atlantic,40.6738864,-73.9990594
193,"We've Been Out There in Orbit (with Marcona Almonds, Cinnamon, and Vanilla)",26,4.52,Other Half Brewing Co.,American Imperial Stout,14.50%,mid-atlantic,40.6738864,-73.9990594
194,Recertified,36,4.47,Brew Gentlemen,American Imperial IPA,8.00%,mid-atlantic,40.4042111,-79.8701506
195,St.Oner,117,4.38,Tired Hands Brewing Company,New England IPA,6.50%,mid-atlantic,40.0086321,-75.29376979999999
196,Apotheosis,33,4.48,Hudson Valley Brewery,New England IPA,6.00%,mid-atlantic,41.5016769,-73.9630756
197,Le Roar Grrrz Apricot,115,4.38,Bullfrog Brewery,American Wild Ale,7.00%,mid-atlantic,41.240337,-77.005665
198,Double Dry Hopped Cabbage,149,4.37,Other Half Brewing Co.,New England IPA,7.90%,mid-atlantic,40.6738864,-73.9990594
199,Imperial Biscotti Break,"4,460",4.34,Evil Twin Brewing,American Imperial Stout,11.50%,mid-atlantic,40.7044,-73.9018
200,Kentucky Brunch Brand Stout,762,4.84,Toppling Goliath Brewing Company,American Imperial Stout,12.00%,midwest,43.2739945,-91.7263179
201,Barrel-Aged Abraxas,"1,500",4.74,Perennial Artisan Ales,American Imperial Stout,11.00%,midwest,38.545549,-90.265596
202,Mornin' Delight,"1,517",4.7,Toppling Goliath Brewing Company,American Imperial Stout,12.00%,midwest,43.2739945,-91.7263179
203,SR-71,509,4.71,Toppling Goliath Brewing Company,American Imperial Stout,14.00%,midwest,43.2739945,-91.7263179
204,Anabasis,136,4.71,Side Project Brewing,American Barleywine,14.00%,midwest,38.61188,-90.321888
205,Framboise Du Fermier,237,4.68,Side Project Brewing,Belgian Saison,8.00%,midwest,38.61188,-90.321888
